 2019-05-04 15:34:32,720 StockWatcher - start programs 
 2019-05-04 15:34:32,720 Start watching MSFT: Price: 20 
 2019-05-04 15:34:32,721 MSFT	20 
 2019-05-04 15:34:32,721 Start watching GOOG: Price: 20 
 2019-05-04 15:34:32,721 GOOG	20 
 2019-05-04 15:34:32,721 Start watching AMZN: Price: 20 
 2019-05-04 15:34:32,721 AMZN	20 
 2019-05-04 15:34:32,722 Start watching APPL: Price: 20 
 2019-05-04 15:34:32,722 APPL	20 
 2019-05-04 15:36:32,730 MSFT	25 
 2019-05-04 15:36:32,730 GOOG	25 
 2019-05-04 15:36:32,731 AMZN	25 
 2019-05-04 15:36:32,731 APPL	25 
 2019-05-04 15:38:32,735 MSFT	30 
 2019-05-04 15:38:32,735 GOOG	30 
 2019-05-04 15:38:32,735 AMZN	30 
 2019-05-04 15:38:32,735 APPL	30 
 2019-05-04 15:40:32,746 GOOG	30 
 2019-05-04 15:40:32,746 MSFT	30 
 2019-05-04 15:40:32,746 AMZN	30 
 2019-05-04 15:40:32,746 APPL	30 
 2019-05-04 15:42:32,760 GOOG	30 
 2019-05-04 15:42:32,761 MSFT	30 
 2019-05-04 15:42:32,761 AMZN	30 
 2019-05-04 15:42:32,761 APPL	30 
 2019-05-04 15:44:32,771 MSFT	20 
 2019-05-04 15:44:32,771 GOOG	20 
 2019-05-04 15:44:32,771 AMZN	20 
 2019-05-04 15:44:32,771 APPL	20 
