 2019-05-04 15:12:05,157 StockWatcher - start program 
 2019-05-04 15:12:05,157 Start watching MSFT: Price: 20 
 2019-05-04 15:12:05,158 MSFT	20 
 2019-05-04 15:12:05,158 Start watching GOOG: Price: 20 
 2019-05-04 15:12:05,158 GOOG	20 
 2019-05-04 15:12:05,159 Start watching AAPL: Price: 20 
 2019-05-04 15:12:05,159 AAPL	20 
 2019-05-04 15:12:05,160 Start watching AMZN: Price: 20 
 2019-05-04 15:12:05,160 AMZN	20 
 2019-05-04 15:14:05,165 MSFT	25 
 2019-05-04 15:14:05,168 GOOG	25 
 2019-05-04 15:14:05,168 AAPL	25 
 2019-05-04 15:14:05,168 AMZN	25 
 2019-05-04 15:16:05,171 MSFT	30 
 2019-05-04 15:16:05,175 GOOG	30 
 2019-05-04 15:16:05,175 AAPL	30 
 2019-05-04 15:16:05,175 AMZN	30 
 2019-05-04 15:18:05,179 MSFT	30 
 2019-05-04 15:18:05,180 GOOG	30 
 2019-05-04 15:18:05,180 AAPL	30 
 2019-05-04 15:18:05,180 AMZN	30 
 2019-05-04 15:20:05,188 MSFT	30 
 2019-05-04 15:20:05,188 GOOG	30 
 2019-05-04 15:20:05,189 AAPL	30 
 2019-05-04 15:20:05,189 AMZN	30 
 2019-05-04 15:22:05,196 GOOG	20 
 2019-05-04 15:22:05,196 AAPL	20 
 2019-05-04 15:22:05,197 AMZN	20 
 2019-05-04 15:22:05,197 MSFT	20 
 2019-05-04 15:24:05,206 GOOG	20 
 2019-05-04 15:24:05,207 AAPL	20 
 2019-05-04 15:24:05,207 MSFT	20 
 2019-05-04 15:24:05,207 AMZN	20 
 2019-05-04 15:26:05,226 GOOG	25 
 2019-05-04 15:26:05,227 MSFT	25 
 2019-05-04 15:26:05,227 AMZN	25 
 2019-05-04 15:26:05,227 AAPL	25 
